StudyYear,SampleDate,PlotID,FishTreatment,BirdTreatment,treatment,ElapsedDays,ElapsedDays2,Pre_Post,SamplingOccasion,MeanTemp,MeanDO,MeanDepth,total,DensityRounded
Year2,1/31/2025,5E,NoFish,NoBirds,NoBirds NoFish,88,7744,Post,1/31/2025,9.294166667,8.362083333,27.94,19363.84367,19364
Year2,1/31/2025,6C,Fish,Birds,Birds Fish,88,7744,Post,1/31/2025,9.255,8.598333333,25.4,20199.33947,20199
Year2,1/31/2025,6E,Fish,NoBirds,NoBirds Fish,88,7744,Post,1/31/2025,9.1775,4.552916667,27.94,16193.87434,16194
Year2,1/31/2025,7C,Fish,Birds,Birds Fish,88,7744,Post,1/31/2025,9.1475,8.745416667,33.02,8496.255014,8496
Year2,1/31/2025,7E,Fish,NoBirds,NoBirds Fish,88,7744,Post,1/31/2025,9.226666667,8.515416667,33.02,18774.08194,18774
Year2,1/31/2025,8C,NoFish,Birds,Birds NoFish,88,7744,Post,1/31/2025,9.0225,7.580416667,30.48,12729.02414,12729
Year2,1/31/2025,8E,NoFish,NoBirds,NoBirds NoFish,88,7744,Post,1/31/2025,9.114166667,4.076666667,15.24,38039.63199,38040
Year2,2/11/2025,1C,Fish,Birds,Birds Fish,99,9801,Post,2/11/2025,9.745,9.6675,24.13,20002.75222,20003
Year2,2/11/2025,1E,Fish,NoBirds,NoBirds Fish,99,9801,Post,2/11/2025,9.926666667,5.53375,22.86,30061.46628,30061
Year2,2/11/2025,2C,NoFish,Birds,Birds NoFish,99,9801,Post,2/11/2025,9.790833333,10.48208333,22.86,24737.22839,24737
Year2,2/11/2025,2E,NoFish,NoBirds,NoBirds NoFish,99,9801,Post,2/11/2025,9.651666667,1.351666667,22.86,40005.50444,40006
Year2,2/11/2025,3C,NoFish,Birds,Birds NoFish,99,9801,Post,2/11/2025,9.700833333,10.75625,25.4,24524.25887,24524
Year2,2/11/2025,3E,NoFish,NoBirds,NoBirds NoFish,99,9801,Post,2/11/2025,9.723333333,10.28958333,22.86,24942.00676,24942
Year2,2/11/2025,4C,Fish,Birds,Birds Fish,99,9801,Post,2/11/2025,9.743333333,10.52708333,27.94,23309.63053,23310
Year2,2/11/2025,4E,Fish,NoBirds,NoBirds Fish,99,9801,Post,2/11/2025,9.645833333,10.57583333,25.4,39710.62357,39711
Year2,2/11/2025,5C,NoFish,Birds,Birds NoFish,99,9801,Post,2/11/2025,9.64,10.68208333,25.4,19658.72454,19659
Year2,2/11/2025,5E,NoFish,NoBirds,NoBirds NoFish,99,9801,Post,2/11/2025,9.73,10.64041667,27.94,33075.80404,33076
Year2,2/11/2025,6C,Fish,Birds,Birds Fish,99,9801,Post,2/11/2025,NA,NA,27.94,25851.22277,25851
Year2,2/11/2025,6E,Fish,NoBirds,NoBirds Fish,99,9801,Post,2/11/2025,9.596666667,0.353333333,27.94,36663.52127,36664
Year2,2/11/2025,7C,Fish,Birds,Birds Fish,99,9801,Post,2/11/2025,9.535833333,11.10458333,30.48,22017.77149,22018
Year2,2/11/2025,7E,Fish,NoBirds,NoBirds Fish,99,9801,Post,2/11/2025,9.7075,8.944166667,29.21,9934.676866,9935
Year2,2/11/2025,8C,NoFish,Birds,Birds NoFish,99,9801,Post,2/11/2025,9.461666667,9.3525,29.21,6301.323313,6301
Year2,2/11/2025,8E,NoFish,NoBirds,NoBirds NoFish,99,9801,Post,2/11/2025,9.321666667,2.902916667,20.32,31085.35818,31085
