"","X","PlotID","Date","C13PW","C13Gas","FishOnField","FishTreatment","BirdTreatment","treatment","StudyYear"
"267",151,"6E","2025-07-15",-60.46,-54.99,"N","Fish","NoBirds","NoBirds Fish","Year2"
"268",152,"7E","2025-07-15",-61.21,-53.07,"N","Fish","NoBirds","NoBirds Fish","Year2"
"269",153,"7C","2025-07-15",-59.15,-57.58,"N","Fish","Birds","Birds Fish","Year2"
"270",154,"8E","2025-07-15",-57.49,-53.36,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"271",155,"8C","2025-07-15",-55.6,-54.66,"N","NoFish","Birds","Birds NoFish","Year2"
"272",156,"1E","2025-07-30",-55.85,-47.79,"N","Fish","NoBirds","NoBirds Fish","Year2"
"273",157,"1C","2025-07-30",-63.9,-62.9,"N","Fish","Birds","Birds Fish","Year2"
"274",158,"2E","2025-07-30",-64.08,-61.63,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"275",159,"2C","2025-07-30",-62.34,-50.31,"N","NoFish","Birds","Birds NoFish","Year2"
"276",160,"3E","2025-07-30",-66.8,-62.75,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"277",161,"3C","2025-07-30",-64.03,-59.28,"N","NoFish","Birds","Birds NoFish","Year2"
"278",162,"4E","2025-07-30",-62.15,-59.21,"N","Fish","NoBirds","NoBirds Fish","Year2"
"279",163,"4C","2025-07-30",-55.75,-59.73,"N","Fish","Birds","Birds Fish","Year2"
"280",164,"1E","2025-08-15",-71.78,-56.41,"N","Fish","NoBirds","NoBirds Fish","Year2"
"281",165,"1C","2025-08-15",-63.36,-62.58,"N","Fish","Birds","Birds Fish","Year2"
"282",166,"2E","2025-08-15",-65.03,-62.86,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"283",167,"2C","2025-08-15",-62.56,-54.76,"N","NoFish","Birds","Birds NoFish","Year2"
"284",168,"3E","2025-08-15",-61.9,-62.93,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"285",169,"3C","2025-08-15",-65.62,-66.11,"N","NoFish","Birds","Birds NoFish","Year2"
"286",170,"4E","2025-08-15",-59.13,-62.25,"N","Fish","NoBirds","NoBirds Fish","Year2"
"287",171,"4C","2025-08-15",-57.76,-58.91,"N","Fish","Birds","Birds Fish","Year2"
"288",172,"5E","2025-08-15",-59.14,-60.32,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"289",173,"5C","2025-08-15",-60.86,NA,"N","NoFish","Birds","Birds NoFish","Year2"
"290",174,"6E","2025-08-15",-59.56,-62.35,"N","Fish","NoBirds","NoBirds Fish","Year2"
"291",175,"7E","2025-08-15",-57.1,-61.06,"N","Fish","NoBirds","NoBirds Fish","Year2"
"292",176,"7C","2025-08-15",-59.03,-60.7,"N","Fish","Birds","Birds Fish","Year2"
"293",177,"8E","2025-08-15",-61.13,-59.4,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"294",178,"8C","2025-08-15",-60.14,-58.62,"N","NoFish","Birds","Birds NoFish","Year2"
